,이름,평점,주소,카테고리,조회수
112,세스크 멘슬 ,3.5,서울특별시 성동구 성수이로14길 7 ,양식,4512
113,넛츠버거,3.5,서울특별시 성동구 연무장길 37-7  ,양식,885
114,제스티살룬,3.5,서울특별시 성동구 서울숲2길 19,양식,2550
115,르프리크,3.0,서울특별시 성동구 연무장5길 9-16 블루스톤타워 ,양식,4048
116,일미락,3.3,,일/중/아시아,4353
117,녹마이,3.6,서울특별시 성동구 왕십리로14길 18,일/중/아시아,4333
118,아타리,3.5,서울특별시 성동구 성덕정19길 13,일/중/아시아,2314
119,젤라또투유,3.0,서울특별시 성동구 성수이로7길 1 ,카페/디저트,1195
120,쿄와텐동,0.0,서울특별시 성동구 서울숲4길 20 ,일/중/아시아,1663
121,전자방,3.5,서울특별시 성동구 성수일로12길 23,일/중/아시아,2968
122,레몬그라스,3.0,서울특별시 성동구 연무장길 41-26,일/중/아시아,4840
123,오레노카츠,0.0,서울특별시 성동구 성수일로 47,양식,1258
124,아꼬떼뒤파르크,4.4,서울특별시 성동구 서울숲2길 28-7,카페/디저트,3623
125,커피식탁,3.9,서울특별시 성동구 상원1길 15,카페/디저트,8647
126,리퀴드랩,2.8,,나이트라이프,3505
127,camel,4.1,서울특별시 성동구 성덕정19길 6,카페/디저트,3462
128,소랑호젠,4.0,서울특별시 성동구 왕십리로 58,양식,1684
129,INDICA 인디카,4.5,서울특별시 성동구 성수이로14길 14 (주)대경케미칼 ,일/중/아시아,1260
130,플디,4.0,서울특별시 성동구 상원길 44 ,카페/디저트,3264
131,맛차차,5.0,서울특별시 성동구 서울숲2길 18-11,카페/디저트,4383
132,꾸아,4.0,서울특별시 성동구 서울숲4길 26-24 ,일/중/아시아,1683
133,열혈쭈꾸미 서울숲본점,2.8,서울특별시 성동구 서울숲6길 22-1,씨푸드,4807
134,언커먼그라운드,2.8,서울 성동구 연무장11길 15,카페/디저트,2076
135,플라잉볼 에그팩토리,4.2,서울특별시 성동구 왕십리로 136 ,양식,4181
136,냐항,3.6,서울특별시 성동구 연무장길 9-6,일/중/아시아,3126
137,우콘카레,2.6,서울 성동구 성수이로10길 8,일/중/아시아,3436
138,빅토리아베이커리,3.0,서울특별시 성동구 서울숲2길 18-7,카페/디저트,1661
139,강남면옥,2.0,서울 성동구 성수일로 77,고기,6069
